,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
49,Buddy Boeheim,SF,24,DET,10,84,0.31,23.9,,0.138,0.034,0.034,0.034,0.034,0.862,,0.25,0,0,1,0,0.32,,1,1,,0,0,,0.2,0.2,,0,0
50,Bogdan Bogdanović,SG,31,ATL,79,2401,0.428,18.4,,0.417,0.123,0.148,0.095,0.051,0.583,,0.503,0.563,0.46,0.514,0.464,0.374,,0.558,0.863,,0.008,7,,0.204,0.42,,5,0
51,Bojan Bogdanović,SF-PF,34,TOT,57,1478,0.454,16.7,,0.51,0.117,0.181,0.14,0.072,0.49,,0.507,0.625,0.48,0.484,0.429,0.398,,0.648,0.872,,0.006,4,,0.275,0.435,,0,0
51,Bojan Bogdanović,PF,34,DET,28,921,0.468,16.6,,0.513,0.111,0.2,0.141,0.061,0.487,,0.518,0.723,0.447,0.5,0.423,0.415,,0.584,0.86,,0.002,1,,0.232,0.438,,0,0
51,Bojan Bogdanović,SF,34,NYK,29,557,0.43,16.8,,0.504,0.129,0.148,0.137,0.09,0.496,,0.488,0.485,0.553,0.457,0.435,0.37,,0.762,0.894,,0.012,3,,0.346,0.432,,0,0
52,Bol Bol,PF,24,PHO,43,469,0.616,13.4,,0.656,0.185,0.272,0.146,0.053,0.344,,0.717,0.929,0.683,0.591,0.5,0.423,,0.789,1,,0.106,15,,0.596,0.419,,0,0
53,Marques Bolden,C,25,TOT,11,121,0.68,5.4,,0.96,0.44,0.32,0.2,0,0.04,,0.708,0.818,0.875,0.2,,0,,0.824,,,0.2,5,,0,,,0,0
53,Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
53,Marques Bolden,C,25,CHO,9,118,0.68,5.4,,0.96,0.44,0.32,0.2,0,0.04,,0.708,0.818,0.875,0.2,,0,,0.824,,,0.2,5,,0,,,0,0
54,Devin Booker,PG,27,PHO,68,2447,0.492,15.4,,0.68,0.14,0.158,0.231,0.151,0.32,,0.552,0.76,0.447,0.551,0.472,0.364,,0.373,0.612,,0.013,14,,0.074,0.452,,0,0
55,Brandon Boston Jr.,SF,22,LAC,32,345,0.404,13.9,,0.677,0.205,0.168,0.211,0.093,0.323,,0.468,0.636,0.296,0.5,0.333,0.269,,0.588,0.786,,0.068,11,,0.25,0.385,,0,0
56,Chris Boucher,PF,31,TOR,50,705,0.507,12.4,,0.567,0.373,0.166,0.009,0.018,0.433,,0.642,0.765,0.417,0.5,0.25,0.33,,0.595,1,,0.092,18,,0.415,0.256,,0,0
57,James Bouknight,SG,23,CHO,14,81,0.439,20.2,,0.268,0.171,0.049,0.024,0.024,0.732,,0.455,0.714,0,0,0,0.433,,0.4,0.538,,0.024,1,,0.233,0.286,,0,0
58,Jamaree Bouyea,PG,24,TOT,9,95,0.357,13.6,,0.679,0.286,0.321,0.036,0.036,0.321,,0.474,0.625,0.222,1,1,0.111,,0.444,1,,0,0,,0,,,1,0
58,Jamaree Bouyea,PG,24,POR,6,57,0.238,15.6,,0.619,0.238,0.333,0,0.048,0.381,,0.385,0.6,0.143,,1,0,,0.4,,,0,0,,0,,,1,0
58,Jamaree Bouyea,PG,24,SAS,3,38,0.714,7.8,,0.857,0.429,0.286,0.143,0,0.143,,0.667,0.667,0.5,1,,1,,0.5,1,,0,0,,0,,,0,0
59,Malaki Branham,PG,20,SAS,75,1594,0.432,15.1,,0.573,0.186,0.189,0.134,0.064,0.427,,0.494,0.744,0.328,0.5,0.25,0.347,,0.657,0.968,,0.019,12,,0.272,0.384,,0,0
60,Christian Braun,SG,22,DEN,82,1655,0.46,11.4,,0.66,0.342,0.263,0.025,0.031,0.34,,0.498,0.667,0.339,0.083,0.333,0.384,,0.692,0.937,,0.068,30,,0.341,0.304,,1,0
61,Mikal Bridges,SF,27,BRK,82,2854,0.436,15.9,,0.543,0.165,0.163,0.158,0.056,0.457,,0.49,0.668,0.398,0.468,0.292,0.372,,0.494,0.882,,0.016,20,,0.338,0.405,,5,1
62,Miles Bridges,SF,25,CHO,69,2581,0.462,13.6,,0.628,0.283,0.207,0.058,0.081,0.372,,0.529,0.696,0.424,0.343,0.347,0.349,,0.555,0.879,,0.058,66,,0.196,0.341,,7,0
63,Oshae Brissett,SF,25,BOS,55,630,0.444,11.4,,0.641,0.34,0.261,0.013,0.026,0.359,,0.541,0.673,0.4,0.5,0.25,0.273,,0.66,1,,0.144,20,,0.436,0.333,,0,0
64,Izaiah Brockington,PG,24,NOP,1,3,0.4,10.5,,0.8,0.4,0.2,0,0.2,0.2,,0.5,1,0,,0,0,,0.5,,,0.2,1,,0,,,0,0
65,Malcolm Brogdon,PG,31,POR,39,1121,0.44,15.4,,0.599,0.206,0.157,0.117,0.119,0.401,,0.458,0.608,0.385,0.431,0.322,0.412,,0.257,0.756,,0.002,0,,0.121,0.5,,0,0
66,Armoni Brooks,PG,25,BRK,10,104,0.326,20,,0.304,0.109,0.152,0.022,0.022,0.696,,0.286,0,0.571,0,0,0.344,,0.75,0.909,,0,0,,0.063,0,,0,0
67,Dillon Brooks,SF,28,HOU,72,2227,0.428,15.7,,0.518,0.173,0.228,0.083,0.034,0.482,,0.492,0.707,0.36,0.422,0.462,0.359,,0.587,0.962,,0.021,14,,0.154,0.421,,2,0
68,Bruce Brown,PG-SG,27,TOT,67,1866,0.478,11.7,,0.718,0.244,0.285,0.148,0.041,0.282,,0.538,0.718,0.44,0.477,0.375,0.323,,0.618,0.925,,0.021,12,,0.39,0.344,,1,0
68,Bruce Brown,SG,27,IND,33,981,0.475,12.9,,0.678,0.207,0.264,0.162,0.045,0.322,,0.545,0.692,0.458,0.529,0.429,0.327,,0.552,0.909,,0.019,6,,0.436,0.386,,1,0
68,Bruce Brown,PG,27,TOR,34,885,0.481,10.3,,0.765,0.287,0.31,0.131,0.037,0.235,,0.532,0.74,0.422,0.4,0.3,0.317,,0.688,0.95,,0.022,6,,0.317,0.25,,0,0
69,Charlie Brown Jr.,SG,26,NYK,8,37,0.2,19,,0.3,0.1,0.2,0,0,0.7,,0,0,0,,,0.286,,,1,,0,0,,0.286,0.5,,0,0
70,Greg Brown III,PF,22,DAL,6,40,0.455,8.5,,0.727,0.636,0.091,0,0,0.273,,0.5,0.571,0,,,0.333,,0.75,1,,0.273,2,,0,,,0,0
