,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
189,Josh Green,SG,23,DAL,57,1505,0.479,14.5,,0.5,0.265,0.158,0.045,0.032,0.5,,0.572,0.768,0.339,0.294,0.5,0.385,,0.748,0.958,,0.091,31,,0.626,0.385,,0,0
190,AJ Griffin,SF,20,ATL,20,171,0.29,19.5,,0.371,0.048,0.194,0.065,0.065,0.629,,0.348,0.667,0.25,0.5,0.25,0.256,,0.75,0.8,,0.016,1,,0.205,0.25,,0,0
191,Quentin Grimes,SG,23,TOT,51,1025,0.372,19.5,,0.268,0.168,0.049,0.018,0.034,0.732,,0.466,0.582,0.375,0.167,0.182,0.338,,0.732,0.963,,0.021,4,,0.317,0.355,,0,0
191,Quentin Grimes,SG,23,NYK,45,910,0.395,19.6,,0.259,0.171,0.045,0.01,0.031,0.741,,0.486,0.592,0.385,0,0.222,0.363,,0.75,0.961,,0.014,1,,0.325,0.391,,0,0
191,Quentin Grimes,SG,23,DET,6,115,0.214,19.2,,0.333,0.143,0.071,0.071,0.048,0.667,,0.357,0.5,0.333,0.333,0,0.143,,0.6,1,,0.071,3,,0.25,0,,0,0
192,Mouhamadou Gueye,PF,25,TOR,11,120,0.289,6,,0.921,0.395,0.474,0.026,0.026,0.079,,0.314,0.467,0.222,0,0,0,,0.727,,,0.211,6,,0,,,0,0
193,Mouhamed Gueye,PF,21,ATL,6,73,0.348,11.6,,0.609,0.348,0.217,0.043,0,0.391,,0.357,0.5,0.2,0,,0.333,,1,1,,0.174,3,,0.444,0,,0,0
194,Rui Hachimura,PF,25,LAL,68,1826,0.537,12.6,,0.657,0.296,0.197,0.09,0.072,0.343,,0.597,0.81,0.398,0.525,0.367,0.422,,0.796,0.99,,0.127,77,,0.457,0.443,,0,0
195,Ashton Hagans,PG,24,POR,19,316,0.408,11.8,,0.648,0.254,0.338,0.056,0,0.352,,0.457,0.778,0.25,0.25,,0.32,,0.429,1,,0,0,,0.12,0.667,,0,0
196,Tyrese Haliburton,PG,23,IND,69,2224,0.477,17.6,,0.49,0.155,0.171,0.087,0.077,0.51,,0.595,0.66,0.592,0.56,0.506,0.364,,0.315,0.472,,0.026,27,,0.08,0.326,,4,0
197,R.J. Hampton,PG,22,MIA,8,76,0.286,17,,0.429,0.143,0.143,0.143,0,0.571,,0.5,0.5,0.5,0.5,,0.125,,0.333,1,,0,0,,0.375,0,,0,0
198,Tim Hardaway Jr.,SF,31,DAL,79,2120,0.402,19.7,,0.388,0.093,0.087,0.102,0.106,0.612,,0.478,0.725,0.365,0.45,0.379,0.353,,0.685,0.858,,0.016,15,,0.253,0.391,,3,0
199,James Harden,PG,34,LAC,72,2470,0.428,18.5,,0.406,0.144,0.137,0.099,0.027,0.594,,0.497,0.703,0.345,0.457,0.318,0.381,,0.157,0.462,,0.002,2,,0.076,0.378,,0,0
200,Jaden Hardy,SG,21,DAL,73,989,0.407,16.4,,0.532,0.184,0.134,0.129,0.086,0.468,,0.447,0.568,0.344,0.435,0.366,0.362,,0.404,0.84,,0.023,9,,0.254,0.351,,4,0
201,Ron Harper Jr.,PF,23,TOR,1,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
202,Gary Harris,SG,29,ORL,54,1297,0.441,19.4,,0.31,0.118,0.121,0.037,0.034,0.69,,0.598,0.686,0.556,0.636,0.4,0.371,,0.727,0.974,,0.02,4,,0.429,0.409,,1,0
203,Joe Harris,SG,32,DET,16,170,0.359,20.3,,0.231,0.103,0.128,0,0,0.769,,0.444,0.5,0.4,,,0.333,,1,1,,0,0,,0.467,0.5,,0,0
204,Kevon Harris,SG,26,ORL,2,6,0.667,11.5,,1,0.333,0,0.333,0.333,0,,0.667,1,,0,1,,,0.5,,,0,0,,,,,0,0
205,Tobias Harris,PF,31,PHI,70,2368,0.487,11.9,,0.729,0.268,0.251,0.14,0.069,0.271,,0.537,0.686,0.431,0.511,0.394,0.353,,0.444,0.956,,0.043,39,,0.26,0.403,,0,0
206,Shaquille Harrison,SG,30,MEM,3,6,0.5,1.1,,1,1,0,0,0,0,,0.5,0.5,,,,,,1,,,0,0,,,,,0,0
207,Josh Hart,SF,28,NYK,81,2707,0.434,12.8,,0.62,0.321,0.169,0.1,0.029,0.38,,0.511,0.661,0.339,0.382,0.3,0.31,,0.633,0.888,,0.016,10,,0.24,0.339,,1,0
208,Isaiah Hartenstein,C,25,NYK,75,1896,0.644,3.5,,0.992,0.641,0.26,0.085,0.005,0.008,,0.646,0.709,0.568,0.387,1,0.333,,0.654,1,,0.258,86,,0,,,0,0
209,Sam Hauser,SF,26,BOS,79,1741,0.446,22.7,,0.167,0.072,0.048,0.027,0.02,0.833,,0.559,0.675,0.407,0.467,0.636,0.424,,0.731,0.975,,0.016,9,,0.241,0.518,,2,0
210,Jordan Hawkins,SG,21,NOP,67,1160,0.382,20.3,,0.346,0.083,0.081,0.075,0.107,0.654,,0.411,0.526,0.351,0.353,0.408,0.366,,0.738,0.991,,0.024,7,,0.245,0.466,,2,0
211,Jaxson Hayes,C,23,LAL,70,877,0.72,4,,0.954,0.68,0.263,0,0.011,0.046,,0.754,0.857,0.5,,0.5,0,,0.849,,,0.469,75,,0.125,0,,1,0
212,Killian Hayes,PG,22,DET,42,1008,0.413,14.7,,0.739,0.06,0.226,0.343,0.11,0.261,,0.455,0.706,0.469,0.423,0.387,0.297,,0.484,0.864,,0.018,5,,0.284,0.381,,0,0
213,Gordon Hayward,SF,33,TOT,51,1245,0.464,12.2,,0.777,0.236,0.238,0.176,0.127,0.223,,0.479,0.674,0.406,0.451,0.294,0.411,,0.607,0.946,,0.052,19,,0.311,0.429,,0,0
213,Gordon Hayward,SF,33,CHO,25,798,0.468,12.3,,0.795,0.209,0.249,0.202,0.135,0.205,,0.496,0.742,0.432,0.467,0.275,0.361,,0.556,0.955,,0.051,14,,0.279,0.412,,0,0
213,Gordon Hayward,SF,33,OKC,26,447,0.453,11.9,,0.726,0.311,0.208,0.104,0.104,0.274,,0.429,0.545,0.318,0.364,0.364,0.517,,0.788,0.933,,0.057,5,,0.379,0.455,,0,0
214,Scoot Henderson,PG,19,POR,62,1765,0.385,14,,0.664,0.237,0.177,0.167,0.083,0.336,,0.416,0.503,0.312,0.451,0.318,0.325,,0.277,0.598,,0.024,14,,0.123,0.333,,4,0
215,Taylor Hendricks,PF,20,UTA,40,856,0.45,16.5,,0.417,0.158,0.196,0.038,0.025,0.583,,0.55,0.737,0.447,0.667,0,0.379,,0.545,1,,0.092,20,,0.514,0.458,,0,0
216,Tyler Herro,SG,24,MIA,42,1407,0.441,17,,0.547,0.086,0.197,0.166,0.098,0.453,,0.478,0.587,0.49,0.467,0.375,0.396,,0.417,0.811,,0.008,4,,0.12,0.475,,1,0
217,Buddy Hield,SF-SG,31,TOT,84,2160,0.436,19.2,,0.332,0.161,0.098,0.031,0.042,0.668,,0.539,0.657,0.446,0.346,0.444,0.386,,0.671,0.918,,0.008,6,,0.178,0.436,,0,0
217,Buddy Hield,SF,31,IND,52,1336,0.443,19.4,,0.309,0.164,0.097,0.017,0.031,0.691,,0.575,0.635,0.54,0.333,0.5,0.384,,0.717,0.912,,0.012,5,,0.162,0.379,,0,0
217,Buddy Hield,SG,31,PHI,32,824,0.426,18.9,,0.366,0.156,0.099,0.051,0.06,0.634,,0.492,0.692,0.303,0.353,0.4,0.389,,0.6,0.927,,0.003,1,,0.204,0.512,,0,0
218,Haywood Highsmith,PF,27,MIA,66,1366,0.465,16.6,,0.416,0.191,0.179,0.027,0.018,0.584,,0.562,0.667,0.475,0.667,0.167,0.396,,0.636,0.987,,0.055,16,,0.417,0.438,,0,0
219,Nate Hinton,SG,24,HOU,15,75,0.423,16,,0.462,0.269,0.115,0,0.077,0.538,,0.333,0.429,0.333,,0,0.5,,0.25,0.714,,0,0,,0.143,0,,0,0
220,D'Moi Hodge,SG,25,LAL,7,41,0.333,21.8,,0.2,0.133,0,0,0.067,0.8,,0.667,0.5,,,1,0.25,,1,1,,0,0,,0.25,0.333,,0,0
221,Aaron Holiday,PG,27,HOU,78,1269,0.446,17.3,,0.48,0.122,0.17,0.139,0.048,0.52,,0.51,0.647,0.437,0.534,0.35,0.387,,0.255,0.81,,0.005,2,,0.212,0.478,,1,0
222,Jrue Holiday,PG,33,BOS,69,2263,0.48,15.7,,0.533,0.163,0.219,0.099,0.052,0.467,,0.526,0.688,0.49,0.397,0.417,0.429,,0.461,0.754,,0.01,5,,0.261,0.619,,1,0
223,Justin Holiday,SG,34,DEN,58,862,0.454,19.9,,0.299,0.134,0.031,0.021,0.113,0.701,,0.569,0.692,0.333,0.75,0.455,0.404,,0.788,0.964,,0.057,10,,0.485,0.5,,0,0
224,Richaun Holmes,C-PF,30,TOT,40,555,0.558,3.9,,0.98,0.578,0.361,0.041,0,0.02,,0.563,0.694,0.396,0.167,,0.333,,0.716,1,,0.204,28,,0.667,0.5,,0,0
224,Richaun Holmes,C,30,DAL,23,237,0.559,3.1,,1,0.678,0.305,0.017,0,0,,0.559,0.675,0.333,0,,,,0.606,,,0.169,10,,,,,0,0
224,Richaun Holmes,PF,30,WAS,17,318,0.557,4.4,,0.966,0.511,0.398,0.057,0,0.034,,0.565,0.711,0.429,0.2,,0.333,,0.792,1,,0.227,18,,0.667,0.5,,0,0
225,Chet Holmgren,C,21,OKC,82,2413,0.53,12.8,,0.634,0.296,0.208,0.093,0.037,0.366,,0.623,0.77,0.535,0.461,0.343,0.37,,0.652,0.977,,0.156,137,,0.106,0.324,,2,0
226,Jalen Hood-Schifino,SG,20,LAL,21,109,0.222,16.1,,0.667,0.111,0.222,0.089,0.244,0.333,,0.267,0.6,0.1,0.25,0.273,0.133,,0.625,1,,0.022,1,,0.067,0,,0,0
227,Al Horford,C,37,BOS,65,1740,0.511,17.2,,0.384,0.184,0.155,0.024,0.021,0.616,,0.658,0.818,0.523,0.6,0.333,0.419,,0.726,1,,0.045,18,,0.384,0.424,,0,0
228,Talen Horton-Tucker,PG,23,UTA,51,1009,0.396,13.8,,0.609,0.187,0.312,0.082,0.028,0.391,,0.438,0.621,0.407,0.237,0.154,0.33,,0.242,0.8,,0.037,12,,0.203,0.351,,2,0
229,Danuel House Jr.,SF,30,PHI,34,509,0.448,14.5,,0.524,0.343,0.124,0.019,0.038,0.476,,0.582,0.694,0.308,1,0.25,0.3,,0.719,0.933,,0.038,4,,0.48,0.375,,2,0
230,Caleb Houstan,SF,21,ORL,59,815,0.388,23.9,,0.063,0.019,0.019,0.015,0.01,0.937,,0.615,0.5,0.75,1,0,0.373,,0.5,0.986,,0,0,,0.378,0.397,,0,0
231,Jett Howard,SF,20,ORL,18,67,0.333,23.7,,0.167,0.033,0.067,0.033,0.033,0.833,,0.6,0,1,1,0,0.28,,1,0.714,,0,0,,0.08,0,,0,0
232,Kevin Huerter,SG,25,SAC,64,1562,0.443,18.2,,0.391,0.146,0.152,0.075,0.018,0.609,,0.571,0.732,0.553,0.381,0.2,0.361,,0.808,0.951,,0.02,9,,0.173,0.424,,0,0
233,Jay Huff,C,25,DEN,20,49,0.6,16.8,,0.4,0.267,0.133,0,0,0.6,,1,1,1,,,0.333,,1,1,,0.067,1,,0,,,0,0
234,De'Andre Hunter,SF,26,ATL,57,1681,0.459,16.1,,0.541,0.166,0.149,0.137,0.089,0.459,,0.521,0.682,0.485,0.429,0.424,0.385,,0.674,0.906,,0.027,13,,0.322,0.398,,0,0
235,Matthew Hurt,PF,23,MEM,8,113,0.353,19.5,,0.412,0.088,0.118,0.029,0.176,0.588,,0.5,0.667,0.5,0,0.5,0.25,,0.571,1,,0,0,,0.25,0.4,,0,0
236,Bones Hyland,PG,23,LAC,37,540,0.386,17.5,,0.462,0.135,0.203,0.084,0.04,0.538,,0.457,0.647,0.412,0.333,0.3,0.326,,0.302,0.5,,0.008,2,,0.126,0.353,,1,0
237,Joe Ingles,SF,36,ORL,68,1169,0.436,19.9,,0.291,0.079,0.198,0.009,0.004,0.709,,0.439,0.778,0.311,0,1,0.435,,0.448,0.929,,0,0,,0.199,0.469,,2,0
238,Brandon Ingram,SF,26,NOP,64,2103,0.492,14.4,,0.762,0.147,0.155,0.28,0.179,0.238,,0.534,0.753,0.449,0.512,0.462,0.355,,0.415,0.779,,0.034,35,,0.128,0.355,,2,0
239,Kyrie Irving,SG,31,DAL,58,2030,0.497,15.1,,0.628,0.144,0.226,0.171,0.087,0.372,,0.548,0.675,0.527,0.518,0.449,0.411,,0.375,0.653,,0.006,6,,0.166,0.514,,1,0
240,Jonathan Isaac,PF,26,ORL,58,914,0.51,12.6,,0.608,0.395,0.091,0.056,0.066,0.392,,0.598,0.717,0.385,0.375,0.368,0.375,,0.654,0.976,,0.203,52,,0.491,0.455,,1,0
241,Jaden Ivey,SG,21,DET,77,2217,0.429,13.8,,0.621,0.222,0.249,0.118,0.032,0.379,,0.485,0.657,0.413,0.339,0.387,0.336,,0.423,0.895,,0.015,14,,0.225,0.337,,6,0
242,Andre Jackson Jr.,SG,22,MIL,57,572,0.5,13.8,,0.54,0.27,0.15,0.1,0.02,0.46,,0.611,0.741,0.267,0.7,1,0.37,,0.515,1,,0.16,16,,0.63,0.345,,0,0
243,GG Jackson II,PF,19,MEM,48,1233,0.428,15.7,,0.492,0.263,0.149,0.039,0.041,0.508,,0.502,0.676,0.333,0.227,0.261,0.357,,0.576,0.863,,0.076,38,,0.224,0.484,,1,0
244,Isaiah Jackson,C,22,IND,59,771,0.665,3.1,,0.983,0.67,0.27,0.03,0.013,0.017,,0.677,0.795,0.397,0.571,0.667,0,,0.755,,,0.352,72,,0.5,0,,0,0
245,Jaren Jackson Jr.,C,24,MEM,66,2124,0.444,11.9,,0.685,0.221,0.39,0.066,0.008,0.315,,0.501,0.63,0.439,0.455,0.333,0.32,,0.491,0.932,,0.034,34,,0.15,0.309,,8,0
246,Justin Jackson,SF,28,MIN,2,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
247,Quenton Jackson,PG,25,IND,3,11,0,2.3,,1,1,0,0,0,0,,0,0,,,,,,,,,0,0,,,,,0,0
248,Reggie Jackson,PG,33,DEN,82,1817,0.431,14.6,,0.624,0.187,0.247,0.089,0.102,0.376,,0.475,0.61,0.422,0.433,0.39,0.359,,0.402,0.775,,0.011,6,,0.204,0.397,,4,0
249,Trayce Jackson-Davis,PF,23,GSW,68,1130,0.702,2.5,,0.997,0.648,0.343,0.006,0,0.003,,0.704,0.777,0.561,1,,0,,0.751,,,0.373,112,,0,,,0,0
250,LeBron James,PF,39,LAL,71,2504,0.54,11.6,,0.714,0.345,0.217,0.078,0.073,0.286,,0.592,0.772,0.482,0.313,0.366,0.41,,0.435,0.685,,0.071,84,,0.096,0.457,,1,0
251,Jaime Jaquez Jr.,SF,22,MIA,75,2113,0.489,10.9,,0.71,0.286,0.337,0.069,0.019,0.29,,0.558,0.668,0.506,0.438,0.231,0.322,,0.533,0.969,,0.05,29,,0.51,0.32,,4,0
252,DeJon Jarreau,SG,26,MEM,9,150,0.34,12.5,,0.74,0.26,0.28,0.1,0.1,0.26,,0.351,0.538,0.286,0.4,0,0.308,,0.077,1,,0.04,2,,0.154,0,,0,0
253,DaQuan Jeffries,SG,26,NYK,17,46,0.353,18.1,,0.412,0.059,0.176,0.176,0,0.588,,0.571,1,0.667,0.333,,0.2,,1,1,,0,0,,0.4,0.25,,0,0
254,Trey Jemison,C,24,TOT,25,573,0.551,4.1,,1,0.588,0.279,0.118,0.015,0,,0.551,0.663,0.368,0.5,0,,,0.56,,,0.162,18,,,,,0,0
254,Trey Jemison,C,24,WAS,2,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
254,Trey Jemison,C,24,MEM,23,572,0.551,4.1,,1,0.588,0.279,0.118,0.015,0,,0.551,0.663,0.368,0.5,0,,,0.56,,,0.162,18,,,,,0,0
255,Ty Jerome,SG,26,CLE,2,15,0.5,10.6,,0.75,0.25,0.25,0.25,0,0.25,,0.667,0,1,1,,0,,0,,,0,0,,0,,,0,0
256,Isaiah Joe,SG,24,OKC,78,1445,0.458,21.3,,0.272,0.091,0.041,0.07,0.07,0.728,,0.568,0.773,0.4,0.5,0.471,0.416,,0.76,0.966,,0.039,15,,0.212,0.413,,2,0
257,Cameron Johnson,PF,27,BRK,58,1599,0.446,17.5,,0.43,0.17,0.126,0.073,0.061,0.57,,0.519,0.724,0.41,0.378,0.342,0.391,,0.601,0.957,,0.034,18,,0.331,0.462,,1,0
258,Jalen Johnson,SF,22,ATL,56,1889,0.511,10.6,,0.715,0.342,0.272,0.083,0.019,0.285,,0.574,0.696,0.471,0.431,0.462,0.355,,0.705,0.972,,0.15,98,,0.285,0.298,,1,0
259,James Johnson,PF,36,IND,9,47,0.3,11.1,,0.8,0.2,0.4,0.2,0,0.2,,0.375,1,0.25,0,,0,,0.333,,,0.2,2,,0,,,0,0
260,Keldon Johnson,SF,24,SAS,69,2038,0.454,13.4,,0.574,0.261,0.256,0.038,0.019,0.426,,0.533,0.636,0.439,0.485,0.5,0.346,,0.492,0.906,,0.038,28,,0.3,0.327,,1,0
261,Keon Johnson,SG,21,BRK,5,61,0.381,17.5,,0.524,0.19,0.095,0.048,0.19,0.476,,0.364,0.5,0.5,0,0.25,0.4,,0.75,1,,0.048,1,,0.1,1,,0,0
262,Keyontae Johnson,SF,23,OKC,9,66,0.313,7.7,,0.813,0.438,0.313,0.063,0,0.188,,0.308,0.286,0.2,1,,0.333,,0.5,1,,0.063,1,,0.333,1,,0,0
263,Nikola Jokić,C,28,DEN,79,2737,0.583,9.7,,0.836,0.26,0.404,0.115,0.057,0.164,,0.626,0.741,0.614,0.537,0.37,0.359,,0.572,0.807,,0.013,17,,0.035,0.25,,8,0
264,Colby Jones,SG,21,SAC,30,192,0.394,12.1,,0.69,0.183,0.338,0.155,0.014,0.31,,0.531,0.462,0.583,0.455,1,0.091,,0.538,1,,0.014,1,,0.364,0.125,,0,0
265,Damian Jones,C,28,CLE,39,270,0.597,8.2,,0.806,0.542,0.139,0.069,0.056,0.194,,0.69,0.795,0.4,0.8,0.25,0.214,,0.775,1,,0.25,17,,0.429,0.333,,0,0
266,Derrick Jones Jr.,SF,26,DAL,76,1783,0.483,13.2,,0.517,0.327,0.168,0.018,0.004,0.483,,0.613,0.691,0.494,0.444,0,0.343,,0.764,0.988,,0.158,62,,0.586,0.343,,0,0
267,Herbert Jones,SF,25,NOP,76,2321,0.498,13.8,,0.536,0.311,0.162,0.022,0.041,0.464,,0.568,0.705,0.389,0.231,0.417,0.418,,0.609,0.965,,0.07,39,,0.527,0.479,,1,0
268,Mason Jones,SG,25,SAC,5,28,0.25,24.4,,0.125,0,0,0.125,0,0.875,,0,,,0,,0.286,,,1,,0,0,,0.143,0,,0,0
269,Tre Jones,PG,24,SAS,77,2138,0.505,11.5,,0.682,0.328,0.242,0.1,0.012,0.318,,0.584,0.726,0.497,0.367,0.286,0.335,,0.406,0.906,,0.003,1,,0.403,0.377,,2,0
270,Tyus Jones,PG,27,WAS,66,1933,0.489,14.8,,0.616,0.111,0.297,0.174,0.033,0.384,,0.537,0.635,0.49,0.56,0.5,0.414,,0.418,0.792,,0,0,,0.246,0.476,,0,0
271,DeAndre Jordan,C,35,DEN,36,396,0.624,2,,1,0.828,0.161,0.011,0,0,,0.624,0.675,0.4,0,,,,0.724,,,0.441,37,,,,,0,0
272,Cory Joseph,PG,32,GSW,26,296,0.359,20.4,,0.344,0.031,0.156,0.078,0.078,0.656,,0.455,0,0.7,0.4,0.2,0.31,,0.6,0.923,,0,0,,0.238,0.4,,1,0
273,Nikola Jović,PF,20,MIA,46,896,0.452,16.7,,0.42,0.178,0.196,0.032,0.014,0.58,,0.525,0.6,0.509,0.222,0.5,0.399,,0.694,0.892,,0.007,2,,0.288,0.468,,0,0
274,Johnny Juzang,SG,22,UTA,20,372,0.464,19.3,,0.3,0.027,0.236,0.018,0.018,0.7,,0.576,1,0.538,0.5,0.5,0.416,,0.789,1,,0.009,1,,0.442,0.382,,0,0
275,Luke Kennard,SG,27,MEM,39,999,0.448,21.8,,0.244,0.06,0.054,0.079,0.051,0.756,,0.442,0.684,0.235,0.44,0.375,0.45,,0.765,0.944,,0,0,,0.118,0.393,,0,0
276,Walker Kessler,C,22,UTA,64,1493,0.654,3.4,,0.946,0.68,0.257,0.003,0.006,0.054,,0.68,0.752,0.511,0,0,0.211,,0.742,1,,0.363,124,,1,0.211,,0,0
277,Braxton Key,SF,26,DEN,20,60,0.412,10.2,,0.706,0.412,0.235,0,0.059,0.294,,0.417,0.429,0.25,,1,0.4,,1,1,,0,0,,0.2,0,,0,0
278,Corey Kispert,SF,24,WAS,80,2067,0.486,17.7,,0.395,0.2,0.149,0.038,0.009,0.605,,0.643,0.78,0.525,0.4,0.571,0.383,,0.752,0.967,,0.03,18,,0.215,0.379,,2,0
279,Maxi Kleber,C,32,DAL,43,871,0.432,18,,0.37,0.178,0.075,0.082,0.034,0.63,,0.574,0.769,0.273,0.583,0.2,0.348,,0.839,0.969,,0.041,6,,0.348,0.219,,0,0
280,Kevin Knox,SF,24,DET,31,560,0.462,15.6,,0.495,0.188,0.194,0.081,0.032,0.505,,0.598,0.686,0.583,0.6,0.167,0.33,,0.782,0.968,,0.124,20,,0.372,0.343,,0,0
281,John Konchar,SF,27,MEM,55,1173,0.423,15.1,,0.423,0.322,0.091,0.01,0,0.577,,0.568,0.657,0.316,0,,0.317,,0.68,1,,0.014,3,,0.492,0.271,,0,0
282,Furkan Korkmaz,SG,26,PHI,35,300,0.395,17.4,,0.474,0.184,0.171,0.053,0.066,0.526,,0.444,0.643,0.462,0,0.2,0.35,,0.75,0.714,,0.026,2,,0.1,0.5,,0,0
283,Luke Kornet,C,28,BOS,63,983,0.7,2.1,,0.995,0.773,0.212,0.01,0,0.005,,0.698,0.79,0.372,0.5,,1,,0.709,1,,0.404,72,,0,,,0,0
284,Vit Krejci,PG,23,ATL,22,541,0.49,18.8,,0.346,0.144,0.115,0.067,0.019,0.654,,0.639,0.667,0.583,0.714,0.5,0.412,,0.696,0.929,,0.038,4,,0.279,0.368,,0,0
285,Jonathan Kuminga,PF,21,GSW,74,1949,0.529,9.4,,0.809,0.296,0.364,0.109,0.039,0.191,,0.578,0.749,0.519,0.394,0.353,0.321,,0.615,0.906,,0.182,138,,0.279,0.435,,1,0
286,Kyle Kuzma,PF,28,WAS,70,2281,0.463,13.7,,0.657,0.206,0.272,0.117,0.062,0.343,,0.53,0.789,0.451,0.357,0.341,0.336,,0.538,0.788,,0.046,57,,0.222,0.41,,1,0
287,Jock Landale,C,28,HOU,56,763,0.515,9,,0.806,0.388,0.262,0.117,0.039,0.194,,0.578,0.638,0.519,0.625,0.25,0.25,,0.75,1,,0.117,20,,0.1,0.25,,0,0
288,Jake LaRavia,PF,22,MEM,35,806,0.389,15.7,,0.485,0.218,0.218,0.023,0.026,0.515,,0.442,0.591,0.303,0.571,0.25,0.34,,0.569,0.887,,0.026,8,,0.167,0.462,,1,0
289,Zach LaVine,SG,28,CHI,25,872,0.452,15.7,,0.551,0.237,0.136,0.053,0.125,0.449,,0.536,0.64,0.431,0.5,0.468,0.349,,0.396,0.525,,0.04,13,,0.183,0.452,,0,0
290,A.J. Lawson,SG,23,DAL,42,311,0.446,11.8,,0.587,0.364,0.198,0.008,0.017,0.413,,0.577,0.773,0.208,0,1,0.26,,0.61,1,,0.107,12,,0.64,0.25,,0,0
291,Saben Lee,PG,24,PHO,24,185,0.364,9.6,,0.709,0.382,0.309,0,0.018,0.291,,0.462,0.571,0.353,,0,0.125,,0.5,1,,0.109,4,,0.625,0.1,,0,0
292,Alex Len,C,30,SAC,48,444,0.617,4.9,,0.963,0.506,0.37,0.062,0.025,0.037,,0.641,0.805,0.433,0.4,1,0,,0.72,,,0.321,20,,0.333,0,,0,0
293,Kawhi Leonard,SF,32,LAC,68,2330,0.525,13.9,,0.711,0.168,0.2,0.246,0.097,0.289,,0.569,0.79,0.539,0.5,0.425,0.417,,0.451,0.657,,0.072,76,,0.193,0.446,,0,0
294,Caris LeVert,SG,29,CLE,68,1958,0.421,13.6,,0.595,0.261,0.212,0.11,0.012,0.405,,0.486,0.617,0.379,0.389,0.4,0.325,,0.414,0.769,,0.043,33,,0.175,0.328,,1,0
295,Kira Lewis Jr.,PG,22,TOT,28,265,0.37,13.1,,0.641,0.25,0.261,0.076,0.054,0.359,,0.508,0.609,0.542,0.429,0,0.121,,0.433,0.75,,0.011,1,,0.212,0,,0,0
295,Kira Lewis Jr.,PG,22,NOP,15,144,0.308,12.9,,0.615,0.365,0.173,0.019,0.058,0.385,,0.438,0.579,0.222,1,0,0.1,,0.5,1,,0.019,1,,0.2,0,,0,0
295,Kira Lewis Jr.,PG,22,TOR,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
295,Kira Lewis Jr.,PG,22,UTA,12,119,0.45,13.3,,0.675,0.1,0.375,0.15,0.05,0.325,,0.593,0.75,0.733,0.333,0,0.154,,0.375,0.5,,0,0,,0.231,0,,0,0
296,Maxwell Lewis,SF,21,LAL,34,103,0.19,14.3,,0.571,0.238,0.19,0.048,0.095,0.429,,0.25,0.2,0.25,0,0.5,0.111,,0.333,1,,0.048,0,,0,,,0,0
297,E.J. Liddell,PF,23,NOP,8,23,0.167,22.1,,0.167,0.167,0,0,0,0.833,,1,1,,,,0,,1,,,0.167,1,,0,,,0,0
298,Damian Lillard,PG,33,MIL,73,2579,0.424,17.2,,0.513,0.194,0.147,0.078,0.094,0.487,,0.49,0.677,0.314,0.404,0.45,0.354,,0.196,0.509,,0.01,8,,0.058,0.278,,7,0
299,Nassir Little,SF,23,PHO,45,458,0.46,16.4,,0.435,0.21,0.161,0.032,0.032,0.565,,0.667,0.769,0.6,0.25,0.75,0.3,,0.722,1,,0.097,12,,0.357,0.32,,0,0
300,Dereck Lively II,C,19,DAL,55,1294,0.747,2.4,,0.993,0.75,0.23,0.01,0.003,0.007,,0.752,0.833,0.515,0,1,0,,0.81,,,0.527,141,,1,0,,0,0
301,Isaiah Livers,PF,25,DET,23,469,0.345,19.2,,0.336,0.155,0.086,0.017,0.078,0.664,,0.462,0.667,0.3,0,0.333,0.286,,0.778,1,,0.034,4,,0.364,0.286,,1,0
302,Chris Livingston,SF,20,MIL,21,90,0.5,7.9,,0.773,0.545,0.227,0,0,0.227,,0.588,0.667,0.4,,,0.2,,0.5,1,,0.045,1,,0.6,0.333,,0,0
303,Kenneth Lofton Jr.,PF,21,TOT,21,199,0.462,13.5,,0.692,0.192,0.256,0.128,0.115,0.308,,0.537,0.8,0.5,0.3,0.444,0.292,,0.517,1,,0.051,4,,0.167,0.25,,0,0
303,Kenneth Lofton Jr.,PF,21,MEM,15,99,0.378,13.3,,0.73,0.189,0.216,0.216,0.108,0.27,,0.407,0.714,0.5,0.25,0,0.3,,0.545,1,,0.081,3,,0.1,0,,0,0
303,Kenneth Lofton Jr.,PF,21,PHI,2,9,0.167,12.5,,0.667,0.333,0.167,0.167,0,0.333,,0.25,0.5,0,0,,0,,1,,,0,0,,0,,,0,0
303,Kenneth Lofton Jr.,PF,21,UTA,4,91,0.6,13.8,,0.657,0.171,0.314,0.029,0.143,0.343,,0.739,1,0.545,1,0.8,0.333,,0.471,1,,0.029,1,,0.25,0.333,,0,0
