Rk,Player,Pos,Age,Team,G,MP,,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
154,Stephen Curry,PG,35,GSW,74,2421,,,95,94,111,105,118,106,92,154,,77.5,114.5
155,Dyson Daniels,PG,20,NOP,61,1358,,,94,101,85,94,82,91,70,110,,-19.9,-33.8
156,Anthony Davis,C,30,LAL,76,2700,,,117,107,74,104,104,107,165,21,,52.6,124.4
157,JD Davison,SG,21,BOS,8,39,,,88,73,117,99,96,100,136,148,,-0.1,0
158,Johnny Davis,SG,21,WAS,50,613,,,85,77,96,82,74,80,64,66,,-30.3,-38.9
159,Dexter Dennis,SG,24,DAL,4,30,,,111,150,34,101,43,93,65,107,,0.2,-1.6
160,DeMar DeRozan,SF,34,CHI,79,2989,,,101,93,91,93,109,101,185,42,,-106.1,12.9
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
161,Moussa Diabaté,C,22,LAC,11,64,,,111,97,,96,82,99,302,,,-0.8,-0.2
162,Mamadi Diakite,PF-C,27,TOT,6,24,,,141,147,,122,85,120,409,42,,1.4,2
163,Mamadi Diakite,PF,27,SAS,3,16,,,169,147,,146,85,135,491,,,2.5,3.1
164,Mamadi Diakite,PF,27,NYK,3,8,,,,,,,,,,253,,-1.1,-1.2
165,Hamidou Diallo,SG,25,WAS,2,5,,,105,92,,91,,86,,,,-0.2,-0.3
166,Gradey Dick,SG,20,TOR,60,1268,,,90,91,100,96,110,94,47,137,,-20.4,-32.2
167,Ousmane Dieng,PF,20,OKC,33,365,,,89,112,82,94,112,93,56,153,,-7.8,-9.7
168,Spencer Dinwiddie,PG,30,TOT,76,2152,,,83,86,92,89,103,94,134,146,,-73.6,-54.6
169,Spencer Dinwiddie,PG,30,BRK,48,1474,,,82,88,88,88,100,91,131,141,,-66.4,-56.5
170,Spencer Dinwiddie,PG,30,LAL,28,678,,,84,76,106,95,112,101,145,162,,-7.1,1.9
171,Donte DiVincenzo,SG,27,NYK,81,2360,,,93,99,110,107,96,103,46,178,,75.6,36.2
172,Luka Dončić,PG,24,DAL,70,2624,,,103,105,104,105,100,106,151,114,,86.2,143.4
173,Luguentz Dort,SF,24,OKC,79,2246,,,92,93,108,102,105,102,97,153,,13.9,18.8
174,Ayo Dosunmu,SG,24,CHI,76,2212,,,106,104,110,107,103,104,60,104,,53.1,36.4
175,Jeff Dowtin,PG,26,PHI,12,142,,,117,119,130,125,96,119,45,134,,9.6,8.2
176,Henri Drell,SF,23,CHI,4,30,,,84,92,91,91,64,87,82,152,,-0.9,-1.6
177,Andre Drummond,C,30,CHI,79,1351,,,117,103,,102,75,99,186,2,,9.3,-5.1
